amount;unit;comment;flow;name;location
5.43;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: 2004 Import/Export data (total trades (USD) divided by total weight (kg) in EU27, USA, China, Japan and India) from UN Commodity Trade Statistics Database (http://data.un.org/Explorer.aspxDatabase [Accessed 2 July 2010]). Commodity: 'Sulphuric acid, oleum';d86d6656-4906-400c-a980-836dba269b37;market for printed paper;GLO
0.036;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;0d3eda5a-4601-4573-9549-0701c459ab88;hard coal, import from RNA;Europe, without Russia and Turkey
0.452;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;d50f0afb-0fac-404e-80c3-2e9c0daee651;market for rainwater mineral oil storage;RoW
0.83;EUR2005;Calculated value based on data from United Nations Commodity Trade Statistics Database (comtrade.un.org). UN comtrade category: 290512 Propyl alcohol and isopropyl alcohol. Year 2005. Using exchange rate of 1EURO = 1.209 USD. Average of price of import into 5 main markets (EU, US, JP, IN and CN).;a755ae96-2e6b-4ce2-ae2a-8f36682c1f6e;market for isopropanol;RER
1357100.0;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;2e8c9c97-b547-4160-8f9e-0d68f336a6a7;concrete mixing factory construction;CH
1.29;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: ecoinvent v2 report 'Bioenergy', chapter 'Biogas', page 188;76a3d3ad-ff04-4894-bbc3-e9f450795ef4;market for toluene diisocyanate;RoW
0.1141;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;c50eaa50-c893-4963-9abf-2fce5fa4863c;market for transport, freight, lorry with refrigeration machine, 3.5-7.5 ton, EURO6, carbon dioxide, liquid refri(...)_5;GLO
0.62;EUR2005;Calculated based on inputs: The price of the product has been calculated as a sum of the values of the material and energy inputs for this product. This value is therefore a rough estimation. It may underestimate the real price since there are additional expenses when producing any product. These expences can include for example labour costs, treatment of waste materials and profit for the producer. Please consider carefully whether this level of data quality is acceptable for your application.;a2193d6a-1c79-42de-aa16-355543601b4e;market for liquid manure spreading, by vacuum tanker;GLO
1.29;EUR2005;Calculated from EU prices by use of exchange rates.;19bacec1-aff8-4398-a7bd-d125b48505b7;polyethylene terephthalate, granulate, bottle grade, recycled to generic market for bottle grade PET granulate;CH
0.1;EUR2005;Temporary price data. Calculated as 90% of purchasers price based on: Price for industrial users from IEA Key world energy statistics 2004 (www.iea.org). In addition, regarding label-certified electricity, the Swiss government has a market instrument for renewable energy which is calculated as the difference between the market price and the production price. This was started in 2009 and is 0.45 Rp/kWh (http://www.bfe.admin.ch/themen/00612/02073/index.html?lang=de). Therefore, the production price of label certified energy is assumed to be the supplyer price plus the 0.45Rp/kWh.The unit conversion from CH to EUR is based on the ecoinvent unit conversion file (1 CHF2005 = 0.644 EUR2005).;637ee275-a239-4dcb-b084-abfa110dd65b;treatment of waste bitumen sheet, municipal incineration with fly ash extraction;CH
